id,state,race,party,last_election,voter_type
93190,AR,a,i,d,registered
12221,AK,h,d,r,likely
52052,AR,a,d,r,registered
76081,CO,b,r,r,likely
82921,CA,h,d,r,registered
61631,AK,a,r,d,registered
56519,CO,b,r,r,likely
93095,CO,h,d,r,likely
22359,AR,h,r,r,registered
53897,AK,w,d,d,likely
68541,AL,w,r,r,likely
63350,AK,h,d,d,registered
65292,AK,w,r,d,registered
35633,CA,w,d,d,registered
44765,CO,a,r,d,registered
22953,AK,w,d,r,registered
81763,CT,w,r,d,likely
78543,AK,w,r,r,registered
60771,AR,h,d,r,registered
99228,CA,w,r,r,registered
31103,AL,n,r,d,likely
73652,CA,w,d,d,likely
47627,AR,w,i,d,registered
46428,AR,h,r,d,registered
85994,CA,w,r,r,registered
60065,AZ,o,r,r,registered
56843,CA,w,d,d,registered
35145,AR,a,r,d,registered
25910,CO,w,r,i,likely
92715,AL,b,d,d,registered
16670,AR,b,r,d,likely
85654,AK,w,d,r,likely
99551,AR,h,d,d,registered
99897,CA,h,d,d,likely
98061,AK,w,d,d,likely
65119,AL,n,r,r,likely
66394,AK,w,r,d,likely
88333,CT,w,d,r,registered
94546,AK,a,r,d,registered
15461,AZ,w,d,d,likely
52661,CT,w,d,r,likely
53141,CT,w,d,d,registered
52938,AZ,w,d,r,registered
47292,CO,w,d,r,likely
89592,AZ,h,r,i,registered
86918,CA,w,r,d,likely
48972,CO,w,d,d,likely
65057,CT,a,r,r,registered
56551,AK,h,d,i,likely
48151,AZ,w,d,d,registered
66904,CO,h,d,d,registered
61785,CT,b,r,d,likely
81006,AL,w,d,d,likely
55850,AK,n,d,d,registered
14358,CA,h,d,d,registered
91922,AK,w,d,d,registered
34059,CA,w,d,d,likely
72456,AR,n,r,d,registered
52428,CT,w,d,d,registered
92558,AZ,a,d,r,registered
84555,AR,w,d,i,likely
37018,CO,w,d,d,registered
56994,CT,b,i,i,registered
29454,AK,w,r,r,likely
28448,AZ,w,d,r,likely
43440,CA,w,r,d,registered
26946,CO,h,d,d,registered
99290,CT,h,r,d,registered
63671,CA,w,r,d,registered
78710,CO,w,r,d,likely
89900,CO,w,r,d,likely
25832,CT,n,r,r,likely
24240,CT,w,r,r,registered
64260,AK,a,r,d,likely
13316,CT,b,d,i,registered
93360,AR,b,r,r,registered
10186,AL,w,r,r,likely
54327,AL,w,d,r,likely
55630,CO,w,d,r,registered
19845,AK,w,d,d,registered
20139,AL,w,d,r,registered
46392,AZ,w,r,r,registered
86227,AZ,h,r,d,registered
53235,AR,w,r,r,registered
87137,CT,w,r,d,registered
98269,AZ,w,d,r,likely
96207,CT,b,r,d,registered
41625,AZ,h,r,r,registered
15468,CT,w,d,d,likely
98142,CO,w,d,d,registered
19900,CA,w,r,d,registered
21240,AK,w,d,r,registered
75001,AK,w,r,r,registered
17335,AL,w,d,r,registered
92675,CO,o,r,r,registered
27033,AL,w,d,d,likely
10949,AR,b,d,d,registered
63473,AL,h,r,r,registered
17045,CO,h,d,i,likely
48390,AZ,w,r,r,registered
53352,AK,w,r,d,registered
22903,CO,w,r,r,likely
22118,AR,o,d,r,registered
37804,AL,w,r,d,registered
25583,AR,h,i,r,likely
21337,CO,a,r,d,registered
62254,CA,w,d,d,registered
62757,CO,w,r,d,likely
27375,CO,w,r,d,registered
70054,AK,h,d,d,registered
64436,AR,w,r,r,likely
46988,CT,b,d,r,registered
74895,AZ,w,r,r,registered
51368,AZ,a,d,d,registered
11445,AZ,w,r,r,registered
24297,CA,n,r,d,registered
52455,CA,w,d,r,likely
71394,CT,w,r,d,registered
13854,CA,w,r,d,registered
95873,CT,b,d,r,registered
59991,AZ,w,d,r,likely
94154,CT,w,d,d,registered
17727,AL,h,d,d,registered
63853,AZ,w,d,r,registered
50285,AR,w,r,r,registered
99448,AK,w,d,r,registered
16127,CT,b,d,d,registered
29760,CA,h,r,r,likely
26040,CO,h,r,r,likely
85341,AK,w,i,r,registered
81477,CO,w,r,i,registered
94656,CO,w,r,r,likely
33663,AR,b,r,r,registered
