poll_id,pollster,numeric_grade,pollscore,methodology,state,start_date,end_date,sample_size,population,election_date,party,answer,candidate_name,pct
88765,Emerson,2.9,-1.1,IVR/Online Panel/Text-to-Web,NA,2024-10-14,10/16/24,1000,lv,11/5/24,REP,Trump,Donald Trump,49.2
88762,YouGov,3,-1.1,Online Panel,Arizona,2024-10-11,10/16/24,1435,lv,11/5/24,REP,Trump,Donald Trump,51
88710,YouGov,3,-1.1,Online Panel,NA,2024-10-12,10/15/24,1457,rv,11/5/24,REP,Trump,Donald Trump,45
88710,YouGov,3,-1.1,Online Panel,NA,2024-10-12,10/15/24,1314,lv,11/5/24,REP,Trump,Donald Trump,45
88721,Emerson,2.9,-1.1,IVR/Online Panel,California,2024-10-12,10/14/24,1000,lv,11/5/24,REP,Trump,Donald Trump,36.6
88736,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,NA,2024-10-11,10/14/24,1110,rv,11/5/24,REP,Trump,Donald Trump,50
88736,Beacon/Shaw,2.8,-1.1,Live Phone/Text-to-Web,NA,2024-10-11,10/14/24,870,lv,11/5/24,REP,Trump,Donald Trump,50
88734,Quinnipiac,2.8,-0.5,Live Phone,Georgia,2024-10-10,10/14/24,1328,lv,11/5/24,REP,Trump,Donald Trump,52
88734,Quinnipiac,2.8,-0.5,Live Phone,Georgia,2024-10-10,10/14/24,1328,lv,11/5/24,REP,Trump,Donald Trump,52
88735,Quinnipiac,2.8,-0.5,Live Phone,North Carolina,2024-10-10,10/14/24,1031,lv,11/5/24,REP,Trump,Donald Trump,47
88735,Quinnipiac,2.8,-0.5,Live Phone,North Carolina,2024-10-10,10/14/24,1031,lv,11/5/24,REP,Trump,Donald Trump,47
88722,SurveyUSA,2.8,-1.3,Online Panel,Washington,2024-10-09,10/14/24,703,lv,11/5/24,REP,Trump,Donald Trump,35
88703,Ipsos,2.8,-0.9,Probability Panel,NA,2024-10-11,10/13/24,807,rv,11/5/24,REP,Trump,Donald Trump,42
